video,true_label,top1_pred,top5_preds,top1_correct,top5_correct
v_ApplyEyeMakeup_g01_c01.avi,applyeyemakeup,applyeyemakeup,"['applyeyemakeup', 'boxingpunchingbag', 'boxingspeedbag', 'punch', 'golfswing']",True,True
v_ApplyEyeMakeup_g01_c02.avi,applyeyemakeup,applyeyemakeup,"['applyeyemakeup', 'punch', 'boxingpunchingbag', 'boxingspeedbag', 'golfswing']",True,True
v_ApplyEyeMakeup_g01_c03.avi,applyeyemakeup,applyeyemakeup,"['applyeyemakeup', 'boxingspeedbag', 'boxingpunchingbag', 'punch', 'golfswing']",True,True
v_ApplyEyeMakeup_g01_c04.avi,applyeyemakeup,applyeyemakeup,"['applyeyemakeup', 'boxingspeedbag', 'boxingpunchingbag', 'punch', 'golfswing']",True,True
v_ApplyEyeMakeup_g01_c05.avi,applyeyemakeup,applyeyemakeup,"['applyeyemakeup', 'boxingpunchingbag', 'boxingspeedbag', 'punch', 'golfswing']",True,True
v_ApplyEyeMakeup_g01_c06.avi,applyeyemakeup,applyeyemakeup,"['applyeyemakeup', 'boxingpunchingbag', 'boxingspeedbag', 'billiards', 'golfswing']",True,True
v_ApplyEyeMakeup_g02_c01.avi,applyeyemakeup,applyeyemakeup,"['applyeyemakeup', 'boxingspeedbag', 'applylipstick', 'boxingpunchingbag', 'punch']",True,True
v_ApplyEyeMakeup_g02_c02.avi,applyeyemakeup,applyeyemakeup,"['applyeyemakeup', 'boxingspeedbag', 'applylipstick', 'boxingpunchingbag', 'punch']",True,True
v_ApplyEyeMakeup_g02_c03.avi,applyeyemakeup,applyeyemakeup,"['applyeyemakeup', 'boxingspeedbag', 'applylipstick', 'punch', 'boxingpunchingbag']",True,True
v_ApplyEyeMakeup_g02_c04.avi,applyeyemakeup,applyeyemakeup,"['applyeyemakeup', 'balancebeam', 'applylipstick', 'icedancing', 'golfswing']",True,True
v_ApplyLipstick_g01_c01.avi,applylipstick,brushingteeth,"['brushingteeth', 'benchpress', 'applylipstick', 'wallpushups', 'boxingpunchingbag']",False,True
v_ApplyLipstick_g01_c02.avi,applylipstick,applylipstick,"['applylipstick', 'brushingteeth', 'blowingcandles', 'applyeyemakeup', 'wallpushups']",True,True
v_ApplyLipstick_g01_c03.avi,applylipstick,brushingteeth,"['brushingteeth', 'applylipstick', 'applyeyemakeup', 'blowingcandles', 'knitting']",False,True
v_ApplyLipstick_g01_c04.avi,applylipstick,applylipstick,"['applylipstick', 'boxingpunchingbag', 'blowdryhair', 'blowingcandles', 'knitting']",True,True
v_ApplyLipstick_g01_c05.avi,applylipstick,applylipstick,"['applylipstick', 'boxingpunchingbag', 'boxingspeedbag', 'applyeyemakeup', 'blowdryhair']",True,True
v_ApplyLipstick_g02_c01.avi,applylipstick,applylipstick,"['applylipstick', 'applyeyemakeup', 'brushingteeth', 'shavingbeard', 'fencing']",True,True
v_ApplyLipstick_g02_c02.avi,applylipstick,applyeyemakeup,"['applyeyemakeup', 'applylipstick', 'shavingbeard', 'brushingteeth', 'boxingspeedbag']",False,True
v_ApplyLipstick_g02_c03.avi,applylipstick,applyeyemakeup,"['applyeyemakeup', 'applylipstick', 'brushingteeth', 'shavingbeard', 'unevenbars']",False,True
v_ApplyLipstick_g02_c04.avi,applylipstick,applylipstick,"['applylipstick', 'brushingteeth', 'applyeyemakeup', 'shavingbeard', 'unevenbars']",True,True
v_ApplyLipstick_g03_c01.avi,applylipstick,brushingteeth,"['brushingteeth', 'applylipstick', 'knitting', 'blowingcandles', 'breaststroke']",False,True
v_Archery_g01_c01.avi,archery,archery,"['archery', 'hammerthrow', 'jumprope', 'hulahoop', 'horseriding']",True,True
v_Archery_g01_c02.avi,archery,archery,"['archery', 'hammerthrow', 'golfswing', 'playingviolin', 'jumprope']",True,True
v_Archery_g01_c03.avi,archery,archery,"['archery', 'playingviolin', 'jumprope', 'hammerthrow', 'skijet']",True,True
v_Archery_g01_c04.avi,archery,archery,"['archery', 'skijet', 'playingviolin', 'hammerthrow', 'golfswing']",True,True
v_Archery_g01_c05.avi,archery,archery,"['archery', 'hammerthrow', 'rowing', 'shotput', 'polevault']",True,True
v_Archery_g01_c06.avi,archery,archery,"['archery', 'hammerthrow', 'fencing', 'polevault', 'balancebeam']",True,True
v_Archery_g01_c07.avi,archery,archery,"['archery', 'hammerthrow', 'hulahoop', 'jumprope', 'horseriding']",True,True
v_Archery_g02_c01.avi,archery,archery,"['archery', 'playingviolin', 'bandmarching', 'fencing', 'jumprope']",True,True
v_Archery_g02_c02.avi,archery,archery,"['archery', 'playingviolin', 'golfswing', 'jumprope', 'bandmarching']",True,True
v_Archery_g02_c03.avi,archery,archery,"['archery', 'playingviolin', 'bandmarching', 'golfswing', 'fencing']",True,True
v_BabyCrawling_g01_c01.avi,babycrawling,babycrawling,"['babycrawling', 'handstandwalking', 'handstandpushups', 'pushups', 'moppingfloor']",True,True
v_BabyCrawling_g01_c02.avi,babycrawling,babycrawling,"['babycrawling', 'handstandwalking', 'moppingfloor', 'handstandpushups', 'pushups']",True,True
v_BabyCrawling_g01_c03.avi,babycrawling,babycrawling,"['babycrawling', 'handstandwalking', 'handstandpushups', 'moppingfloor', 'pushups']",True,True
v_BabyCrawling_g01_c04.avi,babycrawling,babycrawling,"['babycrawling', 'moppingfloor', 'handstandpushups', 'handstandwalking', 'pushups']",True,True
v_BabyCrawling_g02_c01.avi,babycrawling,babycrawling,"['babycrawling', 'moppingfloor', 'cricketbowling', 'pushups', 'lunges']",True,True
v_BabyCrawling_g02_c02.avi,babycrawling,babycrawling,"['babycrawling', 'moppingfloor', 'handstandwalking', 'handstandpushups', 'pushups']",True,True
v_BabyCrawling_g02_c03.avi,babycrawling,babycrawling,"['babycrawling', 'handstandwalking', 'handstandpushups', 'pushups', 'moppingfloor']",True,True
v_BabyCrawling_g02_c04.avi,babycrawling,babycrawling,"['babycrawling', 'handstandwalking', 'handstandpushups', 'moppingfloor', 'pushups']",True,True
v_BabyCrawling_g02_c05.avi,babycrawling,babycrawling,"['babycrawling', 'handstandwalking', 'handstandpushups', 'pushups', 'moppingfloor']",True,True
v_BabyCrawling_g02_c06.avi,babycrawling,babycrawling,"['babycrawling', 'handstandwalking', 'handstandpushups', 'moppingfloor', 'pushups']",True,True
v_BalanceBeam_g01_c01.avi,balancebeam,floorgymnastics,"['floorgymnastics', 'balancebeam', 'handstandwalking', 'polevault', 'diving']",False,True
v_BalanceBeam_g01_c02.avi,balancebeam,floorgymnastics,"['floorgymnastics', 'handstandwalking', 'balancebeam', 'bodyweightsquats', 'polevault']",False,True
v_BalanceBeam_g01_c03.avi,balancebeam,floorgymnastics,"['floorgymnastics', 'balancebeam', 'handstandwalking', 'polevault', 'trampolinejumping']",False,True
v_BalanceBeam_g01_c04.avi,balancebeam,floorgymnastics,"['floorgymnastics', 'balancebeam', 'diving', 'highjump', 'polevault']",False,True
v_BalanceBeam_g02_c01.avi,balancebeam,floorgymnastics,"['floorgymnastics', 'polevault', 'balancebeam', 'handstandwalking', 'pommelhorse']",False,True
v_BalanceBeam_g02_c02.avi,balancebeam,floorgymnastics,"['floorgymnastics', 'balancebeam', 'handstandwalking', 'pommelhorse', 'polevault']",False,True
v_BalanceBeam_g02_c03.avi,balancebeam,floorgymnastics,"['floorgymnastics', 'balancebeam', 'diving', 'pommelhorse', 'polevault']",False,True
v_BalanceBeam_g02_c04.avi,balancebeam,floorgymnastics,"['floorgymnastics', 'pommelhorse', 'balancebeam', 'diving', 'playingdaf']",False,True
v_BalanceBeam_g03_c01.avi,balancebeam,floorgymnastics,"['floorgymnastics', 'balancebeam', 'pommelhorse', 'handstandwalking', 'polevault']",False,True
v_BalanceBeam_g03_c02.avi,balancebeam,floorgymnastics,"['floorgymnastics', 'balancebeam', 'diving', 'pommelhorse', 'handstandwalking']",False,True
v_BandMarching_g01_c01.avi,bandmarching,bandmarching,"['bandmarching', 'militaryparade', 'punch', 'golfswing', 'playingdaf']",True,True
v_BandMarching_g01_c02.avi,bandmarching,bandmarching,"['bandmarching', 'militaryparade', 'punch', 'playingdaf', 'hammering']",True,True
v_BandMarching_g01_c03.avi,bandmarching,bandmarching,"['bandmarching', 'militaryparade', 'punch', 'hammering', 'fencing']",True,True
v_BandMarching_g01_c04.avi,bandmarching,militaryparade,"['militaryparade', 'bandmarching', 'rowing', 'skiing', 'mixing']",False,True
v_BandMarching_g01_c05.avi,bandmarching,bandmarching,"['bandmarching', 'militaryparade', 'skiing', 'rowing', 'archery']",True,True
v_BandMarching_g01_c06.avi,bandmarching,bandmarching,"['bandmarching', 'militaryparade', 'punch', 'basketball', 'rowing']",True,True
v_BandMarching_g01_c07.avi,bandmarching,bandmarching,"['bandmarching', 'militaryparade', 'punch', 'basketball', 'rowing']",True,True
v_BandMarching_g02_c01.avi,bandmarching,militaryparade,"['militaryparade', 'bandmarching', 'golfswing', 'drumming', 'fencing']",False,True
v_BandMarching_g02_c02.avi,bandmarching,militaryparade,"['militaryparade', 'bandmarching', 'golfswing', 'drumming', 'fencing']",False,True
v_BandMarching_g02_c03.avi,bandmarching,bandmarching,"['bandmarching', 'militaryparade', 'drumming', 'golfswing', 'fencing']",True,True
v_BaseballPitch_g01_c01.avi,baseballpitch,baseballpitch,"['baseballpitch', 'golfswing', 'jugglingballs', 'cricketshot', 'longjump']",True,True
v_BaseballPitch_g01_c03.avi,baseballpitch,hammerthrow,"['hammerthrow', 'throwdiscus', 'baseballpitch', 'javelinthrow', 'cricketshot']",False,True
v_BaseballPitch_g01_c04.avi,baseballpitch,baseballpitch,"['baseballpitch', 'golfswing', 'cricketshot', 'swing', 'longjump']",True,True
v_BaseballPitch_g01_c05.avi,baseballpitch,archery,"['archery', 'javelinthrow', 'baseballpitch', 'balancebeam', 'hammerthrow']",False,True
v_BaseballPitch_g01_c06.avi,baseballpitch,hammerthrow,"['hammerthrow', 'baseballpitch', 'lunges', 'javelinthrow', 'archery']",False,True
v_BaseballPitch_g02_c01.avi,baseballpitch,baseballpitch,"['baseballpitch', 'punch', 'basketball', 'diving', 'militaryparade']",True,True
v_BaseballPitch_g02_c02.avi,baseballpitch,baseballpitch,"['baseballpitch', 'basketball', 'punch', 'militaryparade', 'golfswing']",True,True
