video,true_label,top1_pred,top5_preds,top1_correct,top5_correct
v_ApplyEyeMakeup_g01_c01.avi,applyeyemakeup,applyeyemakeup,"['applyeyemakeup', 'applylipstick', 'blowdryhair', 'headmassage', 'blowingcandles']",True,True
v_ApplyEyeMakeup_g01_c02.avi,applyeyemakeup,applyeyemakeup,"['applyeyemakeup', 'applylipstick', 'blowdryhair', 'headmassage', 'benchpress']",True,True
v_ApplyEyeMakeup_g01_c03.avi,applyeyemakeup,applyeyemakeup,"['applyeyemakeup', 'applylipstick', 'blowdryhair', 'hammering', 'headmassage']",True,True
v_ApplyEyeMakeup_g01_c04.avi,applyeyemakeup,applyeyemakeup,"['applyeyemakeup', 'applylipstick', 'blowdryhair', 'playingflute', 'headmassage']",True,True
v_ApplyEyeMakeup_g01_c05.avi,applyeyemakeup,applyeyemakeup,"['applyeyemakeup', 'applylipstick', 'blowdryhair', 'unevenbars', 'headmassage']",True,True
v_ApplyEyeMakeup_g01_c06.avi,applyeyemakeup,applyeyemakeup,"['applyeyemakeup', 'applylipstick', 'blowdryhair', 'headmassage', 'haircut']",True,True
v_ApplyEyeMakeup_g02_c01.avi,applyeyemakeup,applyeyemakeup,"['applyeyemakeup', 'applylipstick', 'brushingteeth', 'yoyo', 'cricketshot']",True,True
v_ApplyEyeMakeup_g02_c02.avi,applyeyemakeup,applyeyemakeup,"['applyeyemakeup', 'applylipstick', 'brushingteeth', 'blowdryhair', 'headmassage']",True,True
v_ApplyEyeMakeup_g02_c03.avi,applyeyemakeup,applyeyemakeup,"['applyeyemakeup', 'applylipstick', 'brushingteeth', 'cricketshot', 'unevenbars']",True,True
v_ApplyEyeMakeup_g02_c04.avi,applyeyemakeup,applyeyemakeup,"['applyeyemakeup', 'applylipstick', 'headmassage', 'blowdryhair', 'haircut']",True,True
v_ApplyLipstick_g01_c01.avi,applylipstick,applylipstick,"['applylipstick', 'brushingteeth', 'playingflute', 'pizzatossing', 'applyeyemakeup']",True,True
v_ApplyLipstick_g01_c02.avi,applylipstick,applylipstick,"['applylipstick', 'headmassage', 'applyeyemakeup', 'taichi', 'playingflute']",True,True
v_ApplyLipstick_g01_c03.avi,applylipstick,applylipstick,"['applylipstick', 'applyeyemakeup', 'brushingteeth', 'blowdryhair', 'taichi']",True,True
v_ApplyLipstick_g01_c04.avi,applylipstick,applylipstick,"['applylipstick', 'applyeyemakeup', 'playingflute', 'brushingteeth', 'yoyo']",True,True
v_ApplyLipstick_g01_c05.avi,applylipstick,applylipstick,"['applylipstick', 'applyeyemakeup', 'brushingteeth', 'playingflute', 'taichi']",True,True
v_ApplyLipstick_g02_c01.avi,applylipstick,applyeyemakeup,"['applyeyemakeup', 'applylipstick', 'salsaspin', 'brushingteeth', 'unevenbars']",False,True
v_ApplyLipstick_g02_c02.avi,applylipstick,applyeyemakeup,"['applyeyemakeup', 'applylipstick', 'salsaspin', 'unevenbars', 'brushingteeth']",False,True
v_ApplyLipstick_g02_c03.avi,applylipstick,applyeyemakeup,"['applyeyemakeup', 'applylipstick', 'salsaspin', 'unevenbars', 'brushingteeth']",False,True
v_ApplyLipstick_g02_c04.avi,applylipstick,applylipstick,"['applylipstick', 'applyeyemakeup', 'brushingteeth', 'salsaspin', 'cuttinginkitchen']",True,True
v_ApplyLipstick_g03_c01.avi,applylipstick,applylipstick,"['applylipstick', 'knitting', 'brushingteeth', 'typing', 'pizzatossing']",True,True
v_Archery_g01_c01.avi,archery,archery,"['archery', 'fencing', 'hulahoop', 'polevault', 'hammerthrow']",True,True
