video,true_label,top1_pred,top5_preds,top1_correct,top5_correct
v_ApplyEyeMakeup_g01_c01.avi,applyeyemakeup,applyeyemakeup,"['applyeyemakeup', 'applylipstick', 'blowdryhair', 'brushingteeth', 'haircut']",True,True
v_ApplyEyeMakeup_g01_c02.avi,applyeyemakeup,applyeyemakeup,"['applyeyemakeup', 'applylipstick', 'blowdryhair', 'haircut', 'headmassage']",True,True
v_ApplyEyeMakeup_g01_c03.avi,applyeyemakeup,applyeyemakeup,"['applyeyemakeup', 'applylipstick', 'blowdryhair', 'cleanandjerk', 'haircut']",True,True
v_ApplyEyeMakeup_g01_c04.avi,applyeyemakeup,applyeyemakeup,"['applyeyemakeup', 'applylipstick', 'blowdryhair', 'cleanandjerk', 'haircut']",True,True
v_ApplyEyeMakeup_g01_c05.avi,applyeyemakeup,applyeyemakeup,"['applyeyemakeup', 'applylipstick', 'blowdryhair', 'cleanandjerk', 'haircut']",True,True
v_ApplyEyeMakeup_g01_c06.avi,applyeyemakeup,applyeyemakeup,"['applyeyemakeup', 'applylipstick', 'blowdryhair', 'headmassage', 'haircut']",True,True
v_ApplyEyeMakeup_g02_c01.avi,applyeyemakeup,applyeyemakeup,"['applyeyemakeup', 'applylipstick', 'blowdryhair', 'shavingbeard', 'punch']",True,True
v_ApplyEyeMakeup_g02_c02.avi,applyeyemakeup,applyeyemakeup,"['applyeyemakeup', 'applylipstick', 'shavingbeard', 'blowdryhair', 'headmassage']",True,True
v_ApplyEyeMakeup_g02_c03.avi,applyeyemakeup,applyeyemakeup,"['applyeyemakeup', 'applylipstick', 'punch', 'mixing', 'blowdryhair']",True,True
v_ApplyEyeMakeup_g02_c04.avi,applyeyemakeup,applylipstick,"['applylipstick', 'applyeyemakeup', 'blowdryhair', 'brushingteeth', 'shavingbeard']",False,True
v_ApplyLipstick_g01_c01.avi,applylipstick,brushingteeth,"['brushingteeth', 'applylipstick', 'cleanandjerk', 'blowingcandles', 'applyeyemakeup']",False,True
v_ApplyLipstick_g01_c02.avi,applylipstick,brushingteeth,"['brushingteeth', 'applylipstick', 'applyeyemakeup', 'blowdryhair', 'headmassage']",False,True
v_ApplyLipstick_g01_c03.avi,applylipstick,brushingteeth,"['brushingteeth', 'applylipstick', 'applyeyemakeup', 'haircut', 'cleanandjerk']",False,True
v_ApplyLipstick_g01_c04.avi,applylipstick,applylipstick,"['applylipstick', 'applyeyemakeup', 'brushingteeth', 'blowingcandles', 'blowdryhair']",True,True
v_ApplyLipstick_g01_c05.avi,applylipstick,applylipstick,"['applylipstick', 'applyeyemakeup', 'brushingteeth', 'blowdryhair', 'cleanandjerk']",True,True
v_ApplyLipstick_g02_c01.avi,applylipstick,applylipstick,"['applylipstick', 'applyeyemakeup', 'brushingteeth', 'shavingbeard', 'punch']",True,True
v_ApplyLipstick_g02_c02.avi,applylipstick,applylipstick,"['applylipstick', 'applyeyemakeup', 'brushingteeth', 'shavingbeard', 'punch']",True,True
v_ApplyLipstick_g02_c03.avi,applylipstick,applylipstick,"['applylipstick', 'applyeyemakeup', 'brushingteeth', 'shavingbeard', 'punch']",True,True
v_ApplyLipstick_g02_c04.avi,applylipstick,applylipstick,"['applylipstick', 'applyeyemakeup', 'brushingteeth', 'shavingbeard', 'punch']",True,True
v_ApplyLipstick_g03_c01.avi,applylipstick,brushingteeth,"['brushingteeth', 'tabletennisshot', 'applylipstick', 'playingflute', 'punch']",False,True
v_Archery_g01_c01.avi,archery,archery,"['archery', 'javelinthrow', 'hammerthrow', 'throwdiscus', 'taichi']",True,True
v_Archery_g01_c02.avi,archery,archery,"['archery', 'hammerthrow', 'javelinthrow', 'tennisswing', 'tabletennisshot']",True,True
v_Archery_g01_c03.avi,archery,archery,"['archery', 'hammerthrow', 'javelinthrow', 'tabletennisshot', 'throwdiscus']",True,True
v_Archery_g01_c04.avi,archery,archery,"['archery', 'hammerthrow', 'javelinthrow', 'tabletennisshot', 'tennisswing']",True,True
v_Archery_g01_c05.avi,archery,archery,"['archery', 'javelinthrow', 'hammerthrow', 'fencing', 'polevault']",True,True
v_Archery_g01_c06.avi,archery,archery,"['archery', 'javelinthrow', 'hammerthrow', 'polevault', 'fencing']",True,True
v_Archery_g01_c07.avi,archery,archery,"['archery', 'javelinthrow', 'hammerthrow', 'throwdiscus', 'fencing']",True,True
v_Archery_g02_c01.avi,archery,archery,"['archery', 'hammerthrow', 'tennisswing', 'javelinthrow', 'swing']",True,True
v_Archery_g02_c02.avi,archery,archery,"['archery', 'hammerthrow', 'tennisswing', 'javelinthrow', 'tabletennisshot']",True,True
v_Archery_g02_c03.avi,archery,archery,"['archery', 'hammerthrow', 'tennisswing', 'javelinthrow', 'nunchucks']",True,True
v_BabyCrawling_g01_c01.avi,babycrawling,babycrawling,"['babycrawling', 'frontcrawl', 'pushups', 'jumpingjack', 'wallpushups']",True,True
v_BabyCrawling_g01_c02.avi,babycrawling,babycrawling,"['babycrawling', 'frontcrawl', 'jumpingjack', 'pullups', 'pushups']",True,True
v_BabyCrawling_g01_c03.avi,babycrawling,babycrawling,"['babycrawling', 'frontcrawl', 'pushups', 'pullups', 'jumpingjack']",True,True
v_BabyCrawling_g01_c04.avi,babycrawling,babycrawling,"['babycrawling', 'frontcrawl', 'pushups', 'jumpingjack', 'pullups']",True,True
v_BabyCrawling_g02_c01.avi,babycrawling,babycrawling,"['babycrawling', 'moppingfloor', 'frontcrawl', 'pushups', 'wallpushups']",True,True
v_BabyCrawling_g02_c02.avi,babycrawling,babycrawling,"['babycrawling', 'frontcrawl', 'pushups', 'jumpingjack', 'handstandwalking']",True,True
v_BabyCrawling_g02_c03.avi,babycrawling,babycrawling,"['babycrawling', 'frontcrawl', 'pushups', 'jumpingjack', 'handstandwalking']",True,True
v_BabyCrawling_g02_c04.avi,babycrawling,babycrawling,"['babycrawling', 'frontcrawl', 'pushups', 'floorgymnastics', 'jumpingjack']",True,True
v_BabyCrawling_g02_c05.avi,babycrawling,babycrawling,"['babycrawling', 'frontcrawl', 'pushups', 'wallpushups', 'handstandwalking']",True,True
v_BabyCrawling_g02_c06.avi,babycrawling,babycrawling,"['babycrawling', 'frontcrawl', 'pushups', 'jumpingjack', 'pullups']",True,True
v_BalanceBeam_g01_c01.avi,balancebeam,floorgymnastics,"['floorgymnastics', 'pommelhorse', 'unevenbars', 'trampolinejumping', 'balancebeam']",False,True
v_BalanceBeam_g01_c02.avi,balancebeam,floorgymnastics,"['floorgymnastics', 'pommelhorse', 'unevenbars', 'trampolinejumping', 'balancebeam']",False,True
v_BalanceBeam_g01_c03.avi,balancebeam,pommelhorse,"['pommelhorse', 'floorgymnastics', 'unevenbars', 'balancebeam', 'trampolinejumping']",False,True
v_BalanceBeam_g01_c04.avi,balancebeam,unevenbars,"['unevenbars', 'pommelhorse', 'floorgymnastics', 'highjump', 'polevault']",False,False
v_BalanceBeam_g02_c01.avi,balancebeam,pommelhorse,"['pommelhorse', 'floorgymnastics', 'unevenbars', 'balancebeam', 'parallelbars']",False,True
v_BalanceBeam_g02_c02.avi,balancebeam,pommelhorse,"['pommelhorse', 'balancebeam', 'unevenbars', 'floorgymnastics', 'parallelbars']",False,True
v_BalanceBeam_g02_c03.avi,balancebeam,floorgymnastics,"['floorgymnastics', 'unevenbars', 'pommelhorse', 'balancebeam', 'polevault']",False,True
v_BalanceBeam_g02_c04.avi,balancebeam,pommelhorse,"['pommelhorse', 'unevenbars', 'floorgymnastics', 'balancebeam', 'polevault']",False,True
v_BalanceBeam_g03_c01.avi,balancebeam,floorgymnastics,"['floorgymnastics', 'pommelhorse', 'unevenbars', 'balancebeam', 'parallelbars']",False,True
v_BalanceBeam_g03_c02.avi,balancebeam,floorgymnastics,"['floorgymnastics', 'pommelhorse', 'unevenbars', 'balancebeam', 'trampolinejumping']",False,True
v_BandMarching_g01_c01.avi,bandmarching,bandmarching,"['bandmarching', 'militaryparade', 'playingdaf', 'playingflute', 'drumming']",True,True
v_BandMarching_g01_c02.avi,bandmarching,bandmarching,"['bandmarching', 'militaryparade', 'playingdaf', 'drumming', 'playingflute']",True,True
v_BandMarching_g01_c03.avi,bandmarching,bandmarching,"['bandmarching', 'militaryparade', 'playingflute', 'icedancing', 'drumming']",True,True
v_BandMarching_g01_c04.avi,bandmarching,bandmarching,"['bandmarching', 'militaryparade', 'drumming', 'playingflute', 'icedancing']",True,True
v_BandMarching_g01_c05.avi,bandmarching,bandmarching,"['bandmarching', 'militaryparade', 'drumming', 'playingflute', 'playingdaf']",True,True
v_BandMarching_g01_c06.avi,bandmarching,bandmarching,"['bandmarching', 'militaryparade', 'drumming', 'playingflute', 'playingdaf']",True,True
v_BandMarching_g01_c07.avi,bandmarching,bandmarching,"['bandmarching', 'militaryparade', 'drumming', 'playingflute', 'playingdaf']",True,True
v_BandMarching_g02_c01.avi,bandmarching,bandmarching,"['bandmarching', 'militaryparade', 'drumming', 'playingdaf', 'playingflute']",True,True
v_BandMarching_g02_c02.avi,bandmarching,bandmarching,"['bandmarching', 'militaryparade', 'drumming', 'playingdaf', 'playingflute']",True,True
v_BandMarching_g02_c03.avi,bandmarching,bandmarching,"['bandmarching', 'militaryparade', 'drumming', 'playingdaf', 'playingflute']",True,True
v_BaseballPitch_g01_c01.avi,baseballpitch,shotput,"['shotput', 'soccerjuggling', 'frisbeecatch', 'throwdiscus', 'tennisswing']",False,False
v_BaseballPitch_g01_c02.avi,baseballpitch,shotput,"['shotput', 'throwdiscus', 'frisbeecatch', 'soccerjuggling', 'tennisswing']",False,False
v_BaseballPitch_g01_c03.avi,baseballpitch,handstandwalking,"['handstandwalking', 'frisbeecatch', 'tennisswing', 'javelinthrow', 'highjump']",False,False
v_BaseballPitch_g01_c04.avi,baseballpitch,shotput,"['shotput', 'tennisswing', 'frisbeecatch', 'throwdiscus', 'golfswing']",False,False
v_BaseballPitch_g01_c05.avi,baseballpitch,handstandwalking,"['handstandwalking', 'javelinthrow', 'tennisswing', 'highjump', 'walkingwithdog']",False,False
v_BaseballPitch_g01_c06.avi,baseballpitch,handstandwalking,"['handstandwalking', 'tennisswing', 'highjump', 'javelinthrow', 'fencing']",False,False
v_BaseballPitch_g02_c01.avi,baseballpitch,baseballpitch,"['baseballpitch', 'hammerthrow', 'throwdiscus', 'shotput', 'frontcrawl']",True,True
v_BaseballPitch_g02_c02.avi,baseballpitch,baseballpitch,"['baseballpitch', 'hammerthrow', 'throwdiscus', 'frontcrawl', 'shotput']",True,True
v_BaseballPitch_g02_c03.avi,baseballpitch,baseballpitch,"['baseballpitch', 'hammerthrow', 'throwdiscus', 'frontcrawl', 'shotput']",True,True
v_BaseballPitch_g02_c04.avi,baseballpitch,baseballpitch,"['baseballpitch', 'hammerthrow', 'throwdiscus', 'shotput', 'frontcrawl']",True,True
v_Basketball_g01_c01.avi,basketball,basketballdunk,"['basketballdunk', 'basketball', 'volleyballspiking', 'throwdiscus', 'tabletennisshot']",False,True
v_Basketball_g01_c02.avi,basketball,basketballdunk,"['basketballdunk', 'basketball', 'volleyballspiking', 'throwdiscus', 'tabletennisshot']",False,True
v_Basketball_g01_c03.avi,basketball,basketballdunk,"['basketballdunk', 'basketball', 'volleyballspiking', 'throwdiscus', 'tabletennisshot']",False,True
v_Basketball_g01_c04.avi,basketball,basketballdunk,"['basketballdunk', 'basketball', 'volleyballspiking', 'throwdiscus', 'tabletennisshot']",False,True
v_Basketball_g01_c05.avi,basketball,basketballdunk,"['basketballdunk', 'basketball', 'volleyballspiking', 'throwdiscus', 'tabletennisshot']",False,True
v_Basketball_g01_c06.avi,basketball,basketball,"['basketball', 'basketballdunk', 'volleyballspiking', 'throwdiscus', 'soccerjuggling']",True,True
v_Basketball_g01_c07.avi,basketball,basketballdunk,"['basketballdunk', 'basketball', 'volleyballspiking', 'throwdiscus', 'tabletennisshot']",False,True
v_Basketball_g02_c01.avi,basketball,basketballdunk,"['basketballdunk', 'basketball', 'volleyballspiking', 'throwdiscus', 'taichi']",False,True
v_Basketball_g02_c02.avi,basketball,basketballdunk,"['basketballdunk', 'basketball', 'volleyballspiking', 'hammerthrow', 'tabletennisshot']",False,True
v_Basketball_g02_c03.avi,basketball,basketballdunk,"['basketballdunk', 'basketball', 'volleyballspiking', 'throwdiscus', 'tabletennisshot']",False,True
v_BasketballDunk_g01_c01.avi,basketballdunk,basketballdunk,"['basketballdunk', 'basketball', 'hammerthrow', 'frontcrawl', 'tabletennisshot']",True,True
v_BasketballDunk_g01_c02.avi,basketballdunk,basketballdunk,"['basketballdunk', 'basketball', 'tabletennisshot', 'frontcrawl', 'punch']",True,True
v_BasketballDunk_g01_c03.avi,basketballdunk,basketballdunk,"['basketballdunk', 'basketball', 'hammerthrow', 'punch', 'tabletennisshot']",True,True
v_BasketballDunk_g01_c04.avi,basketballdunk,basketballdunk,"['basketballdunk', 'basketball', 'hammerthrow', 'tabletennisshot', 'volleyballspiking']",True,True
v_BasketballDunk_g01_c05.avi,basketballdunk,basketballdunk,"['basketballdunk', 'basketball', 'hammerthrow', 'frontcrawl', 'tabletennisshot']",True,True
